Date,Time,Chirps,TempF
21-Aug,2030,176,80.5
21-Aug,2100,186,78.5
21-Aug,2200,174,78
24-Aug,1945,140,73.5
24-Aug,2015,140,70.5
24-Aug,2100,130,68
24-Aug,2200,116,66
24-Aug,2230,111,65
25-Aug,30,102,61.5
25-Aug,330,82,57
25-Aug,500,50,55
25-Aug,2000,148,76.25
25-Aug,2030,150,74
25-Aug,2100,146,74
25-Aug,2200,145,72.5
26-Aug,530,132,66
26-Aug,2030,172,77.5
26-Aug,2200,184,78.5
27-Aug,2000,116,68.5
27-Aug,2030,127,68.5
27-Aug,2100,124,68
27-Aug,2200,115,66
28-Aug,240,94,59
28-Aug,2010,130,70
28-Aug,2050,124,69
28-Aug,2200,118,67
29-Aug,240,90,61.25
29-Aug,440,82,58.5
29-Aug,2000,140,72
29-Aug,2050,132,71
29-Aug,2200,126,69
29-Aug,2330,115,66.5
30-Aug,330,85,60
30-Aug,2000,151,75
30-Aug,2055,148,73.25
30-Aug,2200,148,72.5
1-Sep,2200,145,70
2-Sep,330,126,67.5
2-Sep,600,121,66
4-Sep,240,125,69
4-Sep,505,104,63
5-Sep,500,101,63
6-Sep,600,95,61
7-Sep,215,89,62
7-Sep,525,70,56.5
9-Sep,2010,62,55
9-Sep,2110,59,52
10-Sep,2115,60,53
10-Sep,2210,56,50
11-Sep,315,74,52
16-Sep,2100,111,65
17-Sep,2200,104,63
18-Sep,130,87,59
19-Sep,415,50,50.75
19-Sep,435,50,49.25