Response_id,ID,Height,Armspan,Head,Rhand,Lhand,RFoot,LFoot,Hand
872529,C137,71.75,70.75,23,9,9.25,10.25,10.5,Right
872530,5657,27.25,,,,,,,
872532,2324,72.25,76,23,8.5,8.5,10.5,10.5,Right
872533,az19,69,66,23.5,8,8.25,10,10.25,Right
872534,3037,63.25,63,23.25,8,8.25,9,8.75,Right
872535,5657,73.25,74.5,23.75,10,9.75,11,11,Right
872536,8Z4J,65,66,22,9,8.75,10.25,10,Right
872537,A007,64.5,,,,,,,
872538,AB01,73.25,72.25,23,8.5,9,11.5,11.5,Right
872539,1633,67,64.5,22.5,8.75,9,9.5,9.5,Right
872540,LNC6,71.5,73.5,23.5,6.75,6.5,11.5,11.5,Right
872542,4236,72.75,70,23,8.75,8.5,10.75,10.5,Right
872543,A007,64.5,67.5,21,7.75,7.5,9.5,10,Right
872544,12B1,70,71,22,7.5,10.5,10.5,10.25,Right
872545,0,68.75,71.75,23,8.5,8.5,11,10.5,Right
872546,Stek,66,66,22.5,8.5,8.5,9,9,Right
872547,1313,61.5,6.5,24.5,6,6,9,9,Left
872548,wfa3,76.5,77.25,22.5,9,8.75,11.25,11.5,
872549,AB42,67.75,72,22.5,8,8.25,9.5,9.75,Right
872550,ang1,6.3,61.25,21.25,7,7.5,9,9.1,Right
872561,2222,69.75,72.5,23,9.5,9.75,10.75,10.5,Right
872562,4230,64,61,23,7.5,7.5,9.25,9.25,Right
872563,B808,67,63,23.25,8.75,8.75,9.75,10,Right
872564,mon6,73,74,23.5,9,9,11.25,11,Left
872565,317,73,73,23,10.5,10.5,11.5,11.5,Right
872566,AJ22,67,65.5,23,8,8,10.25,10,Right
872567,1C7K,71.5,72.5,22,8,8,11,11,Left
872568,9876,73.5,78.5,24,10.25,10.25,11.5,11.25,Left
872569,JB29,73,71.5,22.75,22.25,22.25,10.5,10.5,Right
872570,52py,65.5,62,22.5,8.25,8.25,9.5,9.5,Right
872571,3141,70,69.25,22.5,8.5,8.5,10.5,10.5,Right
872572,7520,64.25,63.5,22.5,7.75,7.75,8.5,8.5,Right
872573,4077,67.5,69,23,9,9.25,10.5,10.75,Right
872574,mrvn,74.5,76.25,23,8.75,8.75,11,11.25,Right
872575,A2F6,67.5,66,23,8,8,9.25,9.25,Right
872576,b166,72,73.5,23,8.5,8.75,10.5,10.75,Left
872577,5318,71.5,69.5,22,8,8.25,10,10.25,Right
872578,1234,67.25,66,21.5,8.5,8.75,10.25,10.25,Right
872579,FAKE,66,66,22.75,8.5,8.75,10,10,Right
872581,DUKE,66,66.5,22.75,8.25,8.5,10,10,Right