Response_id,Year,Height,Weight,Earnings,Books,Triangle
852663,2 Sophomore,71,200,0,2,Sleep+Good Grades
852483,2 Sophomore,75,99.2,126,25,Social Life+Good Grades
850051,3 Junior,75,200,10000,1,Sleep+Good Grades
852487,4 Senior,62,100,0,3,Sleep+Good Grades
852380,1st year,64,110,,1,Sleep+Good Grades
851090,4 Senior,71,185,,12,Sleep+Good Grades
848920,2 Sophomore,74,185,10000,15,Social Life+Good Grades
848550,1st year,63,101,300,0,Social Life+Good Grades
852465,1st year,73,165,4000,0,Social Life+Good Grades
848583,1st year,67,135,1000,0,Sleep+Good Grades
853256,1st year,72,200,800,0,Social Life+Good Grades
848239,1st year,70,130,4400,2,Sleep+Good Grades
848468,1st year,74,204,4000,2,Social Life+Good Grades
852359,1st year,60,106,1000,3,Sleep+Good Grades
848510,1st year,67,150,3000,3,Sleep+Good Grades
848112,1st year,72,166,5000,72,Social Life+Good Grades
853203,1st year,66,140,5000,1,Sleep+Social Life
848378,1st year,73,210,7000,8,Social Life+Good Grades
853117,2 Sophomore,72,165,1500,1,Social Life+Good Grades
849176,3 Junior,65,125,3000,5,Social Life+Good Grades
848216,1st year,66,150,5000,0,Sleep+Good Grades
849904,3 Junior,70,210,200,3,Social Life+Good Grades
852572,6 Non-Degree,66,125,,15,Sleep+Good Grades
853077,1st year,63,194,3000,8,Sleep+Good Grades
852576,2 Sophomore,68,150,5000,3,Social Life+Good Grades
848500,1st year,65,150,1500,2,Social Life+Good Grades
848272,1st year,68,153,3000,2,Social Life+Good Grades
848127,2 Sophomore,69,185,8000,7,Sleep+Social Life
849184,2 Sophomore,64,110,4000,7,Sleep+Good Grades
852409,3 Junior,64,160,4000,20,Social Life+Good Grades
851522,4 Senior,73,200,7000,1,Social Life+Good Grades
848247,2 Sophomore,72,170,4000,6,Sleep+Good Grades
848146,1st year,66,116,4000,0,Sleep+Social Life
848147,1st year,65,120,3000,25,Social Life+Good Grades
849348,1st year,63,105,2000,5,Social Life+Good Grades
848392,4 Senior,71,210,15000,2,Sleep+Good Grades
852613,3 Junior,72,200,40000,2,Sleep+Good Grades
852480,3 Junior,68,135,5000,1,Social Life+Good Grades
849603,1st year,65,150,4000,5,Social Life+Good Grades
848125,4 Senior,62,130,2000,15,Social Life+Good Grades
849635,1st year,71,160,40,1,Sleep+Good Grades
852540,4 Senior,66,154,0,2,Sleep+Good Grades
853314,1st year,74,175,900,2,Social Life+Good Grades
853286,1st year,66,190,2000,1,Social Life+Good Grades
853290,3 Junior,66,172,10000,0,Sleep+Social Life
848284,4 Senior,67,190,9000,3,Sleep+Good Grades
852783,2 Sophomore,62,160,8000,12,Sleep+Good Grades
851935,1st year,59,220,4000,0,Sleep+Good Grades
850479,1st year,65,160,3000,1,Sleep+Good Grades
848151,1st year,66,165,0,10,Sleep+Good Grades
848882,4 Senior,71,205,20000,0,
848502,1st year,66,143,4500,4,Sleep+Good Grades
848407,6 Non-Degree,72,190,35000,1,
852392,1st year,66,150,6,0,
852363,3 Junior,66,180,,,
848578,2 Sophomore,66,,,2,Social Life+Good Grades
848714,1st year,64,,,,
851010,1st year,78,180,2000,0,Social Life+Good Grades
852401,3 Junior,66,138,500,10,Sleep+Good Grades
850179,1st year,72,142,4000,0,Social Life+Good Grades
852082,3 Junior,72,190,5000,1,Social Life+Good Grades
850059,3 Junior,75,110,500,2,Sleep+Good Grades
848589,4 Senior,72,154,12000,6,Social Life+Good Grades
850598,4 Senior,71,180,0,3,Social Life+Good Grades
850582,3 Junior,69,125,5000,5,Sleep+Good Grades
848180,4 Senior,73,170,12000,0,Social Life+Good Grades
848894,1st year,71,160,500,20,Sleep+Social Life
852820,3 Junior,74,183,4000,4,Sleep+Good Grades
851397,4 Senior,71,193,5000,2,Social Life+Good Grades
848254,2 Sophomore,67,120,0,2,Sleep+Good Grades
848781,3 Junior,73,200,0,0,Sleep+Good Grades
848312,2 Sophomore,67,105,0,5,Sleep+Good Grades
849814,2 Sophomore,74,160,4000,1,Social Life+Good Grades
848224,3 Junior,62,115,10000,10,Sleep+Good Grades
851328,3 Junior,70,129,0,12,Social Life+Good Grades
851920,4 Senior,64,150,80000,0,Social Life+Good Grades
848791,1st year,72,165,7000,3,Social Life+Good Grades
848442,2 Sophomore,67,133,1000,0,Sleep+Good Grades
848565,1st year,74,195,4000,0,Social Life+Good Grades
852438,1st year,65,165,3000,1,Sleep+Good Grades
849582,4 Senior,69,175,5000,12,Social Life+Good Grades
848132,1st year,72,142,0,2,Sleep+Good Grades
848211,1st year,73,160,4500,15,Social Life+Good Grades
848195,3 Junior,63,156,4000,5,Sleep+Good Grades
851140,1st year,72,167,4000,5,Sleep+Good Grades
850577,2 Sophomore,73,170,4000,0,Sleep+Good Grades
850330,4 Senior,69,165,10,2,Sleep+Social Life
848362,1st year,71,152,400,1,Social Life+Good Grades
848873,2 Sophomore,63,135,5000,6,Social Life+Good Grades
849233,1st year,67,152,1600,2,Sleep+Good Grades
848780,1st year,72,150,500,2,Sleep+Good Grades
848154,1st year,70,140,1780,30,Sleep+Good Grades
852544,3 Junior,70,163,25000,5,Social Life+Good Grades
848145,4 Senior,65,110,5000,7,Social Life+Good Grades
848921,3 Junior,79,225,7800,6,Sleep+Good Grades
848669,5 Graduate,66,165,8000,2,Sleep+Good Grades
850195,3 Junior,74,170,12000,10,Social Life+Good Grades
848403,4 Senior,62,162,5000,5,
848355,4 Senior,74,209,11000,1,Sleep+Good Grades
849556,3 Junior,64,124,2500,4,Sleep+Good Grades
849484,1st year,77,195,3000,5,Sleep+Good Grades
848130,1st year,73,160,6000,5,Social Life+Good Grades
849345,3 Junior,67,138,4000,3,Social Life+Good Grades
849326,2 Sophomore,68,145,3000,5,Social Life+Good Grades
849036,4 Senior,63,135,7000,15,
848212,1st year,64,125,4500,3,Sleep+Good Grades
851337,2 Sophomore,65,132,0,5,Sleep+Good Grades
848540,1st year,68,137,6000,20,Sleep+Good Grades
848496,2 Sophomore,71,180,5200,1,Sleep+Good Grades
849356,3 Junior,66,162,3400,1,Social Life+Good Grades
848478,4 Senior,61,155,2000,3,Sleep+Good Grades
848267,2 Sophomore,72,145,4500,0,Social Life+Good Grades
848171,1st year,69,150,3000,2,Social Life+Good Grades
851219,2 Sophomore,65,140,2000,10,Social Life+Good Grades
848361,2 Sophomore,76,220,35000,3,Social Life+Good Grades
852271,5 Graduate,72,250,,,